dataset,unit,n,pp_rmse,baseline_rmse,relative_rmse_gain,log_rmse_ratio
HUST,HUST_10-1,445,6.652601477572476,34.50465778846764,0.8071970016814383,1.6460863454817918
HUST,HUST_10-2,400,44.00932830766762,24.673712672107605,-0.7836524601106327,-0.5786632058249839
HUST,HUST_10-3,473,9.777780008507246,18.054815932447013,0.45843923055813507,0.613299994568392
HUST,HUST_10-4,433,31.74012987032893,21.861752550129218,-0.4518566065345626,-0.37284315569573534
HUST,HUST_10-5,493,28.7720146665691,43.240033116344286,0.3345977652433024,0.40736355688717324
HUST,HUST_10-6,593,37.529084396075,34.28971424550977,-0.09447060793133977,-0.09027078328610766
HUST,HUST_10-7,462,16.039517724742122,13.639855989720184,-0.1759301371532418,-0.16205944052914104
HUST,HUST_10-8,393,16.88538928346056,47.59265044262908,0.6452101505921554,1.036229638291242
HUST,HUST_9-1,472,54.68813011732189,74.06453758798543,0.2616151818627803,0.30329015649075325
HUST,HUST_9-2,571,20.84745419591615,34.63705884415971,0.3981170777312889,0.5076923338684636
HUST,HUST_9-3,459,33.92258036134059,28.729325951298083,-0.18076492357830132,-0.16616246878116728
HUST,HUST_9-4,459,39.09052131956486,43.078480223912656,0.0925742710425077,0.0971435575614734
HUST,HUST_9-5,559,17.568248513418844,45.37200746303983,0.6127954327846307,0.9488021281550425
HUST,HUST_9-6,421,26.632943961173694,7.632760725416676,-2.4892937063371376,-1.2496993393257705
HUST,HUST_9-7,506,23.769821903092527,34.1089667219469,0.30312102102470917,0.3611435146096264
HUST,HUST_9-8,636,40.18252912138153,51.969146886971956,0.2268002934746114,0.25721791120650633
Virkler,13,2,1.6018553744022725,3.4704311560730314,0.5384275606219335,0.7731162722907244
Virkler,14,2,0.787511379182301,3.323413678619267,0.763041422062908,1.439869929758965
Virkler,15,2,1.7955601311557354,4.205372303533258,0.5730318265407448,0.8510458037556272
Virkler,37,2,1.7360504981884632,3.2218427893933863,0.4611622566117419,0.6183407860674166
Virkler,44,2,3.4852674077544807,0.7037186549880684,-3.9526431949051766,-1.5999214128333903
Virkler,46,2,2.1231423728853827,0.13926978543065208,-14.244816859020574,-2.724239567184758
Virkler,50,2,0.3623865285411519,1.7242954914893855,0.789835019386303,1.5598624347340886
Virkler,54,2,3.8160537350172343,3.938276808263899,0.03103465784583692,0.03152643434178202
Virkler,66,2,2.55291527525065,4.08384772256751,0.37487500791394957,0.4698036619028568
Virkler,9,2,4.371705919745658,5.34918497233038,0.1827342029937099,0.20179090409838216
NASA,B0005,56,7.384622857369642,13.5961047607368,0.45685746121233517,0.6103834911245306
NASA,B0006,59,7.729111188384013,9.098215692877675,0.1504805503309219,0.16308444270072445
NASA,B0007,91,21.784099584674284,21.095764532200704,-0.032629064067476676,-0.03210803955914921
NASA,B0018,49,8.633043604105804,6.45383816523226,-0.3376603786895731,-0.2909221019000943
SUNWODA,10035,158,38.308366280368624,52.69553644701512,0.27302445589699365,0.3188624414876061
SUNWODA,11035,181,32.25137053667496,45.441435976822525,0.2902651546239686,0.34286383591614655
SUNWODA,12035,165,14.241261984353917,21.149372567241354,0.3266343037328462,0.39546671464692223
SUNWODA,13035,178,27.444447274111575,44.79784450847409,0.387371254683468,0.4899961622162763
SUNWODA,14035,156,15.857697938910457,23.324054127570122,0.320113996813019,0.38583013723762466
SUNWODA,15035,138,26.107062287906313,67.67129460886737,0.6142077310800353,0.9524562177989954
SUNWODA,16035,161,17.60402959829114,24.265606012169027,0.27452751068888004,0.32093212700316087
SUNWODA,17035,163,7.518420841280691,17.63259574003526,0.5736066911458803,0.8523930984343956
SUNWODA,18035,168,14.720193590642337,22.48748911729202,0.3454051933560217,0.4237388505793144
RWTH,33,248,46.108929270012275,81.71953332711693,0.43576612111278434,0.5722864345615604
RWTH,34,238,37.19385087261038,90.57512593425842,0.5893591039596615,0.8900361786743691
RWTH,35,236,34.874954734487055,88.38616835368781,0.6054251996202533,0.9299465486093499
RWTH,36,250,88.38418187521874,53.11677962464836,-0.6639597223285891,-0.5092001367746863
RWTH,37,247,42.09156620220004,68.02790271810693,0.3812602693836016,0.48007056222056693
RWTH,38,215,42.315227367177584,93.57199248647444,0.5477789214193112,0.7935841068219652
RWTH,39,218,40.27828767016114,92.65759336320342,0.5652996564212877,0.8330983506064923
RWTH,40,207,39.16802321452855,115.88515280089,0.6620099963812816,1.0847389590290188
MICH,25,30,8.330663162419574,7.076102017609148,-0.17729551406811317,-0.1632198707389517
MICH,26,25,9.021479356698197,9.189759334194962,0.01831168492852664,0.018481419103329764
MICH,27,26,6.671370163903079,10.000459231138956,0.33289361921199756,0.40480575434763466
MICH,28,30,8.455613483722578,10.61305998040641,0.2032822296931197,0.22725477795329016
MICH,29,29,9.80645801566156,8.211991744616418,-0.19416316048910254,-0.17744565596048653
MICH,30,26,7.909091016275297,8.632369489950419,0.0837867835149021,0.08750617230599314
MICH,31,18,7.369398106729913,10.676332982838254,0.3097444489062018,0.3706933860545579
MICH,32,18,2.308722499506026,6.877119559426785,0.6642893177069529,1.0915055545520298
MATR2019,c35,193,47.377752539344755,52.82418039114119,0.10310482456079573,0.10881628502394149
MATR2019,c36,166,57.274884559108955,41.57943990397969,-0.37748090622132224,-0.32025640076652223
MATR2019,c37,275,45.61607177394817,38.36247412489294,-0.18908054849226885,-0.17318036015105348
MATR2019,c38,229,40.16263715048735,55.951127866467004,0.2821836005461852,0.3315414537006726
MATR2019,c39,121,71.69407670385536,61.504016930017166,-0.16568120721989654,-0.15330564335868893
MATR2019,c40,178,49.16274054358447,62.52019193365583,0.2136501980711416,0.24035354493217906
MATR2019,c41,254,53.223694977867204,67.16764579265461,0.20759921909176549,0.23268797866070728
MATR2019,c42,239,37.78445747052466,50.2260962331897,0.2477126373688492,0.2846368968673683
MATR2019,c43,316,84.79969434525556,91.25390222659962,0.07072802065293737,0.07335381730315557
MATR2019,c44,264,38.832260881242874,35.27557617996856,-0.1008257011346565,-0.09606053561212202
MATR-b2,b2c39,62,6.109591572338802,16.514975319823215,0.6300574809212489,0.9944076392537383
MATR-b2,b2c40,92,6.563318208605463,13.172619624272722,0.5017454085965203,0.6966441048720232
MATR-b2,b2c41,67,3.498913877463038,13.810747637038421,0.7466528265218996,1.3729945037117552
MATR-b2,b2c42,77,2.573385925135063,13.025216661345365,0.8024304706752372,1.6216647093810517
MATR-b2,b2c43,76,1.935533699885448,11.340371706710167,0.829323610376882,1.7679859737855363
MATR-b2,b2c44,68,3.3440371974491647,11.53409946626503,0.710073837387148,1.2381290001004948
MATR-b2,b2c45,80,2.6758431081247127,13.195600761044338,0.797217030389078,1.5956189870688189
MATR-b2,b2c46,57,9.979928479052878,16.464758544091264,0.39386123080229485,0.500646327052085
MATR-b2,b2c47,154,24.58051151478552,29.68836319624159,0.17204894886568556,0.1888012433318983
N-CMAPSS,11,104,5.100410826406894,6.591949819728256,0.2262667396007042,0.25652808959629697
N-CMAPSS,14,1,4.95047302246094,15.328993988037112,0.6770516691229487,1.130262934880376
N-CMAPSS,15,54,4.462800851978475,8.682486368267217,0.48599967075224715,0.6655313729673467
